Date, Close,Volume
"Jun 3 2016",35.05,21615511
"Jun 2 2016",34.90,21123986
"Jun 1 2016",34.70,27486169
"May 31 2016",34.75,61443518
"May 30 2016",33.95,27023664
"May 27 2016",33.70,25812846
"May 26 2016",33.45,17969400
"May 25 2016",33.55,31365524
"May 24 2016",32.90,20419110
"May 23 2016",33.10,22232446
"May 20 2016",33.35,24373780
"May 19 2016",33.25,29296424
"May 18 2016",33.50,18622228
"May 17 2016",33.95,23030754
"May 16 2016",33.55,25869049
"May 13 2016",33.65,47436918
"May 12 2016",34.05,27770934
"May 11 2016",34.30,34117719
"May 10 2016",34.75,24991471
"May 9 2016",34.50,27429897
"May 6 2016",34.55,48218711
"May 5 2016",35.45,25779779
"May 4 2016",36.00,33444123
"May 3 2016",35.70,31263653
"Apr 29 2016",36.65,20135360
"Apr 28 2016",37.00,26450800
"Apr 27 2016",37.35,22249857
"Apr 26 2016",37.00,27705326
"Apr 25 2016",36.80,23112300
"Apr 22 2016",37.40,21517228
"Apr 21 2016",37.70,33949191
"Apr 20 2016",37.40,32363624
"Apr 19 2016",37.90,28512432
"Apr 18 2016",37.45,29944326
"Apr 15 2016",37.85,30978503
"Apr 14 2016",38.30,63304634
"Apr 13 2016",37.50,73643278
"Apr 12 2016",35.35,15475586
"Apr 11 2016",35.45,16738732
"Apr 8 2016",35.10,25261605
"Apr 7 2016",35.00,34002066
"Apr 6 2016",35.30,19394317
"Apr 5 2016",35.45,33011907
"Apr 1 2016",36.05,31484768
"Mar 31 2016",37.15,23689632
"Mar 30 2016",37.15,29351712
"Mar 29 2016",36.55,27449626
"Mar 24 2016",36.35,38409446
"Mar 23 2016",37.25,34999255
"Mar 22 2016",37.40,23090352
"Mar 21 2016",37.45,50546231
"Mar 18 2016",36.90,59687551
"Mar 17 2016",36.10,57556149
"Mar 16 2016",35.35,40532427
"Mar 15 2016",34.95,23920620
"Mar 14 2016",35.20,35575776
"Mar 11 2016",34.75,35456155
"Mar 10 2016",34.70,17743026
"Mar 9 2016",34.80,19352233
"Mar 8 2016",34.90,27361883
"Mar 7 2016",35.65,43301343
"Mar 4 2016",35.70,51349059
"Mar 3 2016",34.60,35558724
"Mar 2 2016",34.60,53690702
"Mar 1 2016",33.20,36108686
"Feb 29 2016",33.00,22013943
"Feb 26 2016",33.40,24961247
"Feb 25 2016",32.30,30205483
"Feb 24 2016",33.35,28170068
"Feb 23 2016",34.10,27781205
"Feb 22 2016",34.40,26960185
"Feb 19 2016",33.75,25693183
"Feb 18 2016",34.15,45179288
"Feb 17 2016",32.85,38509401
"Feb 16 2016",33.65,43497409
"Feb 15 2016",32.65,53927103
"Feb 12 2016",30.60,57333287
"Feb 11 2016",31.95,55576329
"Feb 5 2016",33.80,22666571
"Feb 4 2016",33.30,31907050
"Feb 3 2016",33.05,56072619
"Feb 2 2016",34.10,26498651
"Feb 1 2016",34.25,38681086
"Jan 29 2016",35.05,46855547
"Jan 28 2016",34.20,34371122
"Jan 27 2016",33.80,54783064
"Jan 26 2016",33.95,44828274
"Jan 25 2016",35.10,27927965
"Jan 22 2016",34.70,54035830
"Jan 21 2016",33.55,67450697
"Jan 20 2016",35.05,61650073
"Jan 19 2016",36.55,45020678
"Jan 18 2016",34.60,34274001
"Jan 15 2016",35.10,41228385
"Jan 14 2016",36.30,46651390
"Jan 13 2016",36.15,41216282
"Jan 12 2016",35.65,52476338
"Jan 11 2016",36.35,52673127
"Jan 8 2016",38.05,58023171
"Jan 7 2016",38.00,74388997
"Jan 6 2016",40.00,34880806
"Jan 5 2016",40.35,48037712
"Jan 4 2016",40.85,45114145
"Dec 31 2015",42.90,8074334
"Dec 30 2015",43.00,22885686
"Dec 29 2015",43.80,7763976
"Dec 28 2015",43.60,14454249
"Dec 24 2015",44.20,6997244
"Dec 23 2015",44.05,18559539
"Dec 22 2015",43.50,15733463
"Dec 21 2015",43.40,20766343
"Dec 18 2015",42.55,21983903
"Dec 17 2015",42.60,23758726
"Dec 16 2015",42.20,20772559
"Dec 15 2015",41.55,27638382
"Dec 14 2015",41.25,47138690
"Dec 11 2015",41.00,43098639
"Dec 10 2015",42.30,25108060
"Dec 9 2015",42.70,20090382
"Dec 8 2015",43.25,29225522
"Dec 7 2015",43.90,16768278
"Dec 4 2015",43.80,24765135
"Dec 3 2015",44.25,24376086
"Dec 2 2015",44.25,42380217
"Dec 1 2015",43.30,29845668
"Nov 30 2015",42.40,57558485
"Nov 27 2015",43.30,47931574
"Nov 26 2015",44.30,15489345
"Nov 25 2015",44.30,20938886
"Nov 24 2015",44.55,17094544
"Nov 23 2015",44.65,16137536
"Nov 20 2015",44.75,24055564
"Nov 19 2015",44.20,28667306
"Nov 18 2015",43.95,21948944
"Nov 17 2015",44.15,31534383
"Nov 16 2015",43.65,40386187
"Nov 13 2015",44.50,37214985
"Nov 12 2015",45.35,28050233
"Nov 11 2015",44.85,24111112
"Nov 10 2015",45.25,34407052
"Nov 9 2015",45.80,37755108
"Nov 6 2015",45.65,27830814
"Nov 5 2015",45.40,78603408
"Nov 4 2015",44.15,69582355
"Nov 3 2015",42.95,26622688
"Nov 2 2015",43.20,32607771
"Oct 30 2015",43.70,35167099
"Oct 29 2015",43.55,43523499
"Oct 28 2015",44.05,37766342
"Oct 27 2015",44.35,34251788
"Oct 26 2015",43.95,46919744
"Oct 23 2015",43.85,27282575
"Oct 22 2015",43.45,21226159
"Oct 20 2015",43.55,18255521
"Oct 19 2015",43.45,18213735
"Oct 16 2015",43.25,36657410
"Oct 15 2015",42.65,37394323
"Oct 14 2015",41.75,25471216
"Oct 13 2015",42.10,24824722
"Oct 12 2015",42.55,30175172
"Oct 9 2015",42.25,45519117
"Oct 8 2015",42.50,71744253
"Oct 7 2015",43.20,72880870
"Oct 6 2015",41.50,31878583
"Oct 5 2015",41.35,39965332
"Oct 2 2015",40.05,47974061
"Sep 30 2015",38.40,34268883
"Sep 29 2015",38.00,42987647
"Sep 25 2015",39.05,26685475
"Sep 24 2015",38.75,26705964
"Sep 23 2015",39.35,51546965
"Sep 22 2015",39.95,28498872
"Sep 21 2015",40.05,21356784
"Sep 18 2015",40.35,43351495
"Sep 17 2015",39.45,52274154
"Sep 16 2015",38.85,57540758
"Sep 15 2015",38.10,19621392
"Sep 14 2015",38.25,24706940
"Sep 11 2015",38.25,35903130
"Sep 10 2015",38.40,32994326
"Sep 9 2015",38.75,86049241
"Sep 8 2015",37.50,56506848
"Sep 7 2015",35.55,45342291
"Sep 4 2015",35.65,52789569
"Sep 2 2015",36.65,54643040
"Sep 1 2015",37.25,47861381
"Aug 31 2015",37.95,73153184
"Aug 28 2015",37.60,73609718
"Aug 27 2015",38.05,109994831
"Aug 26 2015",35.90,81436947
"Aug 25 2015",36.50,112783584
"Aug 24 2015",35.70,107031162
"Aug 21 2015",38.80,55653806
"Aug 20 2015",39.55,49219276
"Aug 19 2015",40.30,54525478
"Aug 18 2015",41.50,37295540
"Aug 17 2015",42.75,28702393
"Aug 14 2015",43.20,22445207
"Aug 13 2015",43.40,34884256
"Aug 12 2015",43.45,47670661
"Aug 11 2015",44.50,39716203
"Aug 10 2015",44.45,30197377
"Aug 7 2015",44.00,36875351
"Aug 6 2015",43.25,28333748
"Aug 5 2015",43.85,31438685
"Aug 4 2015",44.20,34847802
"Aug 3 2015",43.40,46449663
"Jul 31 2015",44.55,40338576
"Jul 30 2015",44.85,35540137
"Jul 29 2015",45.45,56407973
"Jul 28 2015",45.90,79646120
"Jul 27 2015",47.15,46982320
"Jul 24 2015",48.52,37187318
"Jul 23 2015",49.18,46364034
"Jul 22 2015",48.30,34298026
"Jul 21 2015",48.60,32393634
"Jul 20 2015",48.05,37876790
"Jul 17 2015",48.55,50321392
"Jul 16 2015",47.68,27365102
"Jul 15 2015",46.90,53778672
"Jul 14 2015",47.68,60261822
"Jul 13 2015",48.75,75622426
"Jul 10 2015",48.00,124509952
"Jul 9 2015",45.65,145277724
"Jul 8 2015",42.82,169344538
"Jul 7 2015",45.65,143418562
"Jul 6 2015",47.50,144254272
"Jul 3 2015",49.50,80290402
"Jul 2 2015",51.00,67005030
"Jun 30 2015",52.20,78513720
"Jun 29 2015",51.20,109395242
"Jun 26 2015",53.20,74208460
"Jun 25 2015",55.20,37249184
"Jun 24 2015",55.90,31594018
"Jun 23 2015",55.50,51475806
"Jun 22 2015",54.60,34366788
"Jun 19 2015",53.80,60913574
"Jun 18 2015",55.00,27459542
"Jun 17 2015",55.40,32438842
"Jun 16 2015",54.80,33999740
"Jun 15 2015",55.70,23583808
"Jun 12 2015",57.50,42245090
"Jun 11 2015",55.90,35999986
"Jun 10 2015",54.80,41235222
"Jun 9 2015",55.40,36433078
"Jun 8 2015",57.20,43787648
"Jun 5 2015",55.50,41478244
"Jun 4 2015",56.60,48448344
"Jun 3 2015",56.30,33905376
"Jun 2 2015",57.30,35398160
"Jun 1 2015",58.40,51982704
"May 29 2015",57.00,67394254
"May 28 2015",58.20,87845616
"May 27 2015",60.80,40697022
"May 26 2015",61.20,75907466
"May 22 2015",59.60,61437294
"May 21 2015",56.50,32298146
"May 20 2015",56.20,44253876
"May 19 2015",55.80,41536042
"May 18 2015",54.60,35280866
"May 15 2015",55.20,43670780
"May 14 2015",54.10,26719060
"May 13 2015",54.20,42848380
"May 12 2015",55.50,36619008
"May 11 2015",55.80,41693626
"May 8 2015",55.40,57025754
"May 7 2015",54.00,50222060
"May 6 2015",54.40,82001552
"May 5 2015",53.60,54719426
"May 4 2015",55.10,44388548
"Apr 30 2015",55.90,59792010
"Apr 29 2015",55.00,55624944
"Apr 28 2015",55.60,51009482
"Apr 27 2015",54.80,58908142
"Apr 24 2015",55.20,63191010
"Apr 23 2015",54.40,51970264
"Apr 22 2015",56.10,63155720
"Apr 21 2015",54.70,57306332
"Apr 20 2015",52.40,66642752
"Apr 17 2015",54.40,57027298
"Apr 16 2015",54.80,72012324
"Apr 15 2015",53.20,81261586
"Apr 14 2015",52.10,73061146
"Apr 13 2015",53.60,96110460
"Apr 10 2015",52.00,106815694
"Apr 9 2015",49.12,118391328
"Apr 8 2015",48.55,95875704
"Apr 2 2015",46.58,55098968
"Apr 1 2015",47.22,49112980
"Mar 31 2015",46.72,59534852
"Mar 30 2015",46.58,64678048
"Mar 27 2015",45.65,28598664
"Mar 26 2015",45.40,43076032
"Mar 25 2015",45.48,35391896
"Mar 24 2015",45.50,56634542
