Date,Close,Volume
"Jun 3 2016",32.35,35163822
"Jun 2 2016",32.21,28989196
"Jun 1 2016",32.29,42343352
"May 31 2016",32.70,75882589
"May 30 2016",31.94,22097500
"May 27 2016",31.60,14098751
"May 26 2016",31.62,20356139
"May 25 2016",31.64,13712500
"May 24 2016",31.65,18552099
"May 23 2016",31.82,27738544
"May 20 2016",31.83,17539236
"May 19 2016",31.84,28517053
"May 18 2016",31.77,60201782
"May 17 2016",31.52,20691674
"May 16 2016",31.62,24118291
"May 13 2016",31.71,39265080
"May 12 2016",31.72,56869642
"May 11 2016",31.26,27763942
"May 10 2016",31.17,27645278
"May 9 2016",31.16,49046546
"May 6 2016",31.39,49181874
"May 5 2016",31.96,21140060
"May 4 2016",31.93,26426416
"May 3 2016",31.89,50917961
"Apr 29 2016",32.02,25951148
"Apr 28 2016",32.19,22743653
"Apr 27 2016",32.25,32926140
"Apr 26 2016",32.39,30804864
"Apr 25 2016",32.32,30729800
"Apr 22 2016",32.42,43078020
"Apr 21 2016",32.21,65119594
"Apr 20 2016",32.24,119379681
"Apr 19 2016",31.94,47555191
"Apr 18 2016",31.79,56266307
"Apr 15 2016",31.99,53566943
"Apr 14 2016",32.01,42270343
"Apr 13 2016",31.92,75568173
"Apr 12 2016",31.55,21968838
"Apr 11 2016",31.51,35165894
"Apr 8 2016",31.17,36175893
"Apr 7 2016",31.37,36211146
"Apr 6 2016",31.73,27232796
"Apr 5 2016",32.01,42978997
"Apr 1 2016",31.91,38552936
"Mar 31 2016",31.82,29797952
"Mar 30 2016",32.00,43205823
"Mar 29 2016",31.25,34128188
"Mar 28 2016",31.47,37797307
"Mar 25 2016",32.08,35717568
"Mar 24 2016",31.80,35109688
"Mar 23 2016",32.27,36047297
"Mar 22 2016",32.10,60362722
"Mar 21 2016",32.82,113879011
"Mar 18 2016",32.11,87408324
"Mar 17 2016",32.00,57078597
"Mar 16 2016",32.13,159647657
"Mar 15 2016",31.34,61981843
"Mar 14 2016",31.13,55579715
"Mar 11 2016",30.95,35792982
"Mar 10 2016",30.72,33110889
"Mar 9 2016",31.39,80090596
"Mar 8 2016",31.29,67391212
"Mar 7 2016",31.05,54440341
"Mar 4 2016",31.49,178976573
"Mar 3 2016",30.42,53494887
"Mar 2 2016",30.18,62335409
"Mar 1 2016",29.28,40682753
"Feb 29 2016",29.00,66763176
"Feb 26 2016",29.11,33211134
"Feb 25 2016",28.97,59059774
"Feb 24 2016",30.41,30491050
"Feb 23 2016",30.50,43458444
"Feb 22 2016",30.98,78908600
"Feb 19 2016",29.91,26092199
"Feb 18 2016",29.91,48458572
"Feb 17 2016",30.04,46163466
"Feb 16 2016",30.12,39757869
"Feb 15 2016",29.41,43993725
"Feb 5 2016",29.67,33330201
"Feb 4 2016",29.70,36657042
"Feb 3 2016",29.46,39035211
"Feb 2 2016",29.95,37513430
"Feb 1 2016",29.50,34048457
"Jan 29 2016",30.20,64439144
"Jan 28 2016",29.33,48441759
"Jan 27 2016",29.20,70385326
"Jan 26 2016",29.20,76680981
"Jan 25 2016",30.26,37474472
"Jan 22 2016",30.22,49310407
"Jan 21 2016",30.03,68190102
"Jan 20 2016",30.55,100704268
"Jan 19 2016",31.53,67392536
"Jan 18 2016",31.03,48369367
"Jan 15 2016",31.09,59140260
"Jan 14 2016",32.00,79722712
"Jan 13 2016",31.96,62533019
"Jan 12 2016",32.20,74380914
"Jan 11 2016",32.02,99355700
"Jan 8 2016",33.91,98239660
"Jan 7 2016",33.32,23647605
"Jan 6 2016",34.54,48012110
"Jan 5 2016",34.47,87498507
"Jan 4 2016",34.02,70997199
"Dec 31 2015",35.84,51927675
"Dec 30 2015",35.73,49397553
"Dec 29 2015",36.15,30801923
"Dec 28 2015",35.70,63939139
"Dec 25 2015",36.90,35244314
"Dec 24 2015",36.93,81236313
"Dec 23 2015",36.99,118840026
"Dec 22 2015",36.91,72390841
"Dec 21 2015",36.90,138613465
"Dec 18 2015",35.79,83940922
"Dec 17 2015",35.51,58593058
"Dec 16 2015",35.25,38051697
"Dec 15 2015",35.26,63275218
"Dec 14 2015",35.60,94982292
"Dec 11 2015",34.62,52799774
"Dec 10 2015",34.49,55345796
"Dec 9 2015",34.44,41609639
"Dec 8 2015",34.44,57354970
"Dec 7 2015",34.74,48751673
"Dec 4 2015",34.96,87368217
"Dec 3 2015",35.99,142305933
"Dec 2 2015",35.99,182813266
"Dec 1 2015",34.14,83519647
"Nov 30 2015",33.86,84030498
"Nov 27 2015",33.80,116454446
"Nov 26 2015",35.05,54916243
"Nov 25 2015",35.05,48336266
"Nov 24 2015",34.98,65254433
"Nov 23 2015",34.95,60898386
"Nov 20 2015",35.05,50097068
"Nov 19 2015",35.31,50583227
"Nov 18 2015",34.89,69300139
"Nov 17 2015",35.27,96838961
"Nov 16 2015",35.13,74745954
"Nov 13 2015",35.06,76458303
"Nov 12 2015",35.45,91357791
"Nov 11 2015",35.85,111438113
"Nov 10 2015",36.26,142819589
"Nov 9 2015",36.40,233123714
"Nov 6 2015",36.20,214827617
"Nov 5 2015",35.34,442103018
"Nov 4 2015",34.99,192253306
"Nov 3 2015",33.02,38103234
"Nov 2 2015",33.01,56104771
"Oct 30 2015",33.48,47407089
"Oct 29 2015",33.35,52017325
"Oct 28 2015",33.55,67072585
"Oct 27 2015",34.30,126733683
"Oct 26 2015",33.60,212648098
"Oct 23 2015",33.75,99386427
"Oct 22 2015",32.87,71371479
"Oct 21 2015",32.62,133704957
"Oct 20 2015",32.91,54658545
"Oct 19 2015",33.18,88096211
"Oct 16 2015",32.79,68363054
"Oct 15 2015",32.45,64521081
"Oct 14 2015",31.70,47156844
"Oct 13 2015",32.20,48784540
"Oct 12 2015",32.63,102692258
"Oct 9 2015",31.70,82081673
"Oct 8 2015",30.76,174729254
"Sep 30 2015",29.87,36554916
"Sep 29 2015",29.82,64059048
"Sep 28 2015",30.90,27179227
"Sep 25 2015",31.22,71148577
"Sep 24 2015",31.13,63852786
"Sep 23 2015",30.76,101241517
"Sep 22 2015",31.78,120072574
"Sep 21 2015",30.95,81031920
"Sep 18 2015",30.57,85643882
"Sep 17 2015",30.22,101606967
"Sep 16 2015",30.55,114814688
"Sep 15 2015",29.45,118329733
"Sep 14 2015",30.03,220674688
"Sep 11 2015",29.87,70826201
"Sep 10 2015",30.24,87888881
"Sep 9 2015",30.22,143050164
"Sep 8 2015",29.75,125528629
"Sep 7 2015",28.88,136313308
"Sep 2 2015",29.90,373505875
"Sep 1 2015",30.16,369091176
"Aug 31 2015",30.29,289466600
"Aug 28 2015",29.67,331933947
"Aug 27 2015",29.00,393998439
"Aug 26 2015",26.36,382669144
"Aug 25 2015",25.17,431616157
"Aug 24 2015",26.45,403296227
"Aug 21 2015",29.47,205858189
"Aug 20 2015",30.55,109864022
"Aug 19 2015",31.41,161453342
"Aug 18 2015",31.27,210389448
"Aug 17 2015",32.98,152170414
"Aug 14 2015",33.89,115595672
"Aug 13 2015",34.10,110002958
"Aug 12 2015",33.79,133346307
"Aug 11 2015",34.89,166487100
"Aug 10 2015",35.10,219839332
"Aug 7 2015",33.88,152416244
"Aug 6 2015",32.90,96170786
"Aug 5 2015",33.29,129319492
"Aug 4 2015",34.22,154959144
"Aug 3 2015",33.33,232199395
"Jul 31 2015",33.35,203641357
"Jul 30 2015",34.27,234107360
"Jul 29 2015",34.94,296485242
"Jul 28 2015",35.09,339771040
"Jul 27 2015",36.59,171259599
"Jul 24 2015",40.32,236356400
"Jul 23 2015",41.30,309046092
"Jul 22 2015",39.60,176911906
"Jul 21 2015",40.28,174031704
"Jul 20 2015",40.54,247981790
"Jul 17 2015",40.23,227903614
"Jul 16 2015",39.24,159161386
"Jul 15 2015",39.52,276987992
"Jul 14 2015",39.31,309353316
"Jul 13 2015",40.34,410198364
"Jul 10 2015",41.10,672325374
"Jul 9 2015",40.18,692684066
"Jul 8 2015",38.72,738704706
"Jul 7 2015",43.02,1686656270
"Jul 6 2015",39.04,767104876
