,0,1,2,3,4,5
0,Date,Open,High,Low,Close,Volume
1,"Jun 3, 2016",32.45,32.45,32.02,32.35,35163822
2,"Jun 2, 2016",32.31,32.50,32.10,32.21,28989196
3,"Jun 1, 2016",32.69,32.82,32.25,32.29,42343352
4,"May 31, 2016",31.94,33.50,31.94,32.70,75882589
5,"May 30, 2016",31.75,31.94,31.50,31.94,22097500
6,"May 27, 2016",31.70,31.71,31.58,31.60,14098751
7,"May 26, 2016",31.61,31.79,31.50,31.62,20356139
8,"May 25, 2016",31.83,31.88,31.59,31.64,13712500
9,"May 24, 2016",31.72,31.83,31.50,31.65,18552099
10,"May 23, 2016",31.76,31.96,31.71,31.82,27738544
11,"May 20, 2016",31.82,31.97,31.72,31.83,17539236
12,"May 19, 2016",31.71,31.90,31.70,31.84,28517053
13,"May 18, 2016",31.41,31.89,31.37,31.77,60201782
14,"May 17, 2016",31.60,31.65,31.45,31.52,20691674
15,"May 16, 2016",31.56,31.70,31.51,31.62,24118291
16,"May 13, 2016",31.55,31.85,31.49,31.71,39265080
17,"May 12, 2016",31.20,31.85,30.95,31.72,56869642
18,"May 11, 2016",31.24,31.37,31.16,31.26,27763942
19,"May 10, 2016",31.08,31.26,31.02,31.17,27645278
20,"May 9, 2016",31.39,31.40,31.05,31.16,49046546
21,"May 6, 2016",32.00,32.01,31.39,31.39,49181874
22,"May 5, 2016",31.93,32.05,31.87,31.96,21140060
23,"May 4, 2016",31.93,32.03,31.89,31.93,26426416
24,"May 3, 2016",32.01,32.43,31.86,31.89,50917961
25,"Apr 29, 2016",32.09,32.40,31.95,32.02,25951148
26,"Apr 28, 2016",32.26,32.38,32.01,32.19,22743653
27,"Apr 27, 2016",32.57,32.62,32.21,32.25,32926140
28,"Apr 26, 2016",32.32,32.53,32.21,32.39,30804864
29,"Apr 25, 2016",32.30,32.50,31.97,32.32,30729800
30,"Apr 22, 2016",32.00,32.55,31.88,32.42,43078020
31,Date,Open,High,Low,Close,Volume
32,"Apr 21, 2016",31.94,32.50,31.86,32.21,65119594
33,"Apr 20, 2016",31.94,32.25,31.11,32.24,119379681
34,"Apr 19, 2016",32.00,32.04,31.75,31.94,47555191
35,"Apr 18, 2016",31.80,32.09,31.51,31.79,56266307
36,"Apr 15, 2016",32.03,32.10,31.88,31.99,53566943
37,"Apr 14, 2016",32.08,32.38,31.88,32.01,42270343
38,"Apr 13, 2016",31.80,32.26,31.72,31.92,75568173
39,"Apr 12, 2016",31.49,31.75,31.40,31.55,21968838
40,"Apr 11, 2016",31.32,31.84,31.32,31.51,35165894
41,"Apr 8, 2016",31.20,31.27,31.04,31.17,36175893
42,"Apr 7, 2016",31.89,31.96,31.36,31.37,36211146
43,"Apr 6, 2016",31.78,31.96,31.64,31.73,27232796
44,"Apr 5, 2016",31.70,32.20,31.50,32.01,42978997
45,"Apr 1, 2016",31.83,31.96,31.21,31.91,38552936
46,"Mar 31, 2016",32.09,32.18,31.71,31.82,29797952
47,"Mar 30, 2016",31.60,32.06,31.52,32.00,43205823
48,"Mar 29, 2016",31.61,31.76,31.14,31.25,34128188
49,"Mar 28, 2016",32.10,32.35,31.35,31.47,37797307
50,"Mar 25, 2016",31.81,32.80,31.64,32.08,35717568
51,"Mar 24, 2016",32.07,32.09,31.75,31.80,35109688
52,"Mar 23, 2016",32.29,32.76,32.08,32.27,36047297
53,"Mar 22, 2016",32.65,33.04,32.00,32.10,60362722
54,"Mar 21, 2016",32.39,33.80,32.24,32.82,113879011
55,"Mar 18, 2016",32.32,32.42,31.88,32.11,87408324
56,"Mar 17, 2016",32.10,32.37,31.88,32.00,57078597
57,"Mar 16, 2016",31.10,32.26,31.05,32.13,159647657
58,"Mar 15, 2016",31.05,31.49,30.65,31.34,61981843
59,"Mar 14, 2016",30.99,31.57,30.90,31.13,55579715
60,"Mar 11, 2016",30.57,31.10,30.47,30.95,35792982
61,"Mar 10, 2016",30.98,31.29,30.70,30.72,33110889
62,Date,Open,High,Low,Close,Volume
63,"Mar 9, 2016",30.82,31.45,30.26,31.39,80090596
64,"Mar 8, 2016",30.98,31.35,29.99,31.29,67391212
65,"Mar 7, 2016",31.38,31.58,30.81,31.05,54440341
66,"Mar 4, 2016",30.28,31.60,30.13,31.49,178976573
67,"Mar 3, 2016",30.25,30.49,29.98,30.42,53494887
68,"Mar 2, 2016",29.35,30.30,29.35,30.18,62335409
69,"Mar 1, 2016",28.90,29.69,28.56,29.28,40682753
70,"Feb 29, 2016",29.05,29.15,27.81,29.00,66763176
71,"Feb 26, 2016",29.33,29.40,28.94,29.11,33211134
72,"Feb 25, 2016",30.37,30.37,28.86,28.97,59059774
73,"Feb 24, 2016",30.30,30.60,30.03,30.41,30491050
74,"Feb 23, 2016",30.96,30.97,30.24,30.50,43458444
75,"Feb 22, 2016",30.28,31.65,30.03,30.98,78908600
76,"Feb 19, 2016",29.91,30.15,29.73,29.91,26092199
77,"Feb 18, 2016",30.28,30.49,29.80,29.91,48458572
78,"Feb 17, 2016",30.13,30.33,29.92,30.04,46163466
79,"Feb 16, 2016",29.55,30.32,29.46,30.12,39757869
80,"Feb 15, 2016",28.70,29.79,28.62,29.41,43993725
81,"Feb 5, 2016",29.70,30.00,29.61,29.67,33330201
82,"Feb 4, 2016",29.77,30.06,29.49,29.70,36657042
83,"Feb 3, 2016",29.50,29.80,29.10,29.46,39035211
84,"Feb 2, 2016",29.53,30.10,29.50,29.95,37513430
85,"Feb 1, 2016",30.16,30.16,29.31,29.50,34048457
86,"Jan 29, 2016",29.20,30.38,29.12,30.20,64439144
87,"Jan 28, 2016",29.20,29.61,28.77,29.33,48441759
88,"Jan 27, 2016",29.35,29.48,28.80,29.20,70385326
89,"Jan 26, 2016",29.91,30.10,28.98,29.20,76680981
90,"Jan 25, 2016",30.29,30.36,29.89,30.26,37474472
91,"Jan 22, 2016",30.37,30.49,29.68,30.22,49310407
92,"Jan 21, 2016",30.37,30.81,29.87,30.03,68190102
93,Date,Open,High,Low,Close,Volume
94,"Jan 20, 2016",31.22,31.45,30.29,30.55,100704268
95,"Jan 19, 2016",31.22,31.68,30.75,31.53,67392536
96,"Jan 18, 2016",30.73,31.27,30.59,31.03,48369367
97,"Jan 15, 2016",31.64,31.87,30.90,31.09,59140260
98,"Jan 14, 2016",30.90,32.06,30.80,32.00,79722712
99,"Jan 13, 2016",32.77,32.78,31.85,31.96,62533019
100,"Jan 12, 2016",32.27,32.56,31.82,32.20,74380914
101,"Jan 11, 2016",33.00,33.33,32.00,32.02,99355700
102,"Jan 8, 2016",34.00,34.45,32.90,33.91,98239660
103,"Jan 7, 2016",34.00,34.52,33.00,33.32,23647605
104,"Jan 6, 2016",34.30,34.66,34.00,34.54,48012110
105,"Jan 5, 2016",33.68,34.81,33.50,34.47,87498507
106,"Jan 4, 2016",35.84,35.84,33.90,34.02,70997199
107,"Dec 31, 2015",35.79,36.19,35.42,35.84,51927675
108,"Dec 30, 2015",36.26,36.28,35.44,35.73,49397553
109,"Dec 29, 2015",35.70,36.19,35.67,36.15,30801923
110,"Dec 28, 2015",36.95,37.10,35.66,35.70,63939139
111,"Dec 25, 2015",36.90,37.17,36.71,36.90,35244314
112,"Dec 24, 2015",37.06,37.59,36.46,36.93,81236313
113,"Dec 23, 2015",36.92,37.88,36.80,36.99,118840026
114,"Dec 22, 2015",36.85,37.11,36.41,36.91,72390841
115,"Dec 21, 2015",35.79,37.23,35.65,36.90,138613465
116,"Dec 18, 2015",35.41,36.28,35.36,35.79,83940922
117,"Dec 17, 2015",35.56,35.88,35.27,35.51,58593058
118,"Dec 16, 2015",35.30,35.53,35.12,35.25,38051697
119,"Dec 15, 2015",35.50,35.61,35.05,35.26,63275218
120,"Dec 14, 2015",34.15,35.95,34.02,35.60,94982292
121,"Dec 11, 2015",34.39,34.66,34.18,34.62,52799774
122,"Dec 10, 2015",34.41,35.25,34.39,34.49,55345796
123,"Dec 9, 2015",34.44,34.86,34.34,34.44,41609639
124,Date,Open,High,Low,Close,Volume
125,"Dec 8, 2015",34.50,34.85,34.34,34.44,57354970
126,"Dec 7, 2015",35.00,35.15,34.53,34.74,48751673
